PG.ProteinGroups,UniqueSampleID,Abundance,TREAT1_clean,condition
O14594,20250913_FJ_QZ_Q3,12.631931378672,low,湿热
O14594,20250913_FJ_QZ_Q4,11.375993134896822,control,湿热
O14594,20250913_FJ_QZ_Q12,12.12771604311711,control,湿热
O14594,20250913_FJ_QZ_Q13,11.409135165148154,control,湿热
O14594,20250913_FJ_QZ_Q14,12.24681828782986,control,湿热
O14594,20250913_FJ_QZ_Q15,11.905856494696705,control,湿热
O14594,20250913_FJ_QZ_Q16,11.058769636073837,control,湿热
O14594,20250913_FJ_QZ_Q18,11.821033447871194,control,湿热
O14594,20250913_FJ_QZ_Q20,12.058067880991105,control,湿热
O14594,20250913_FJ_QZ_Q21,11.633993068727117,control,湿热
O14594,20250913_FJ_QZ_Q22,11.035402546882601,control,湿热
O14594,20250913_FJ_QZ_Q23,11.557566886585255,control,湿热
O14594,20250913_FJ_QZ_Q25,12.07980067342321,control,湿热
O14594,20250913_FJ_QZ_Q26,11.930731383003735,control,湿热
O14594,20250913_FJ_QZ_Q27,12.260452414280795,control,湿热
O14594,20250913_FJ_QZ_Q28,11.49377569670146,control,湿热
O14594,20250913_FJ_QZ_Q29,11.98701578806891,control,湿热
O14594,20250913_FJ_QZ_Q31,10.44336814746685,high,湿热
O14594,20250913_FJ_QZ_Q32,11.03933292287952,high,湿热
O14594,20250913_FJ_QZ_Q33,11.820638159104695,high,湿热
O14594,20250913_FJ_QZ_Q34,11.519199990149378,high,湿热
O14594,20250913_FJ_QZ_Q36,11.983579822596198,low,湿热
O14594,20250913_FJ_QZ_Q37,11.682104652631125,high,湿热
O14594,20250913_FJ_QZ_Q38,11.825340812248598,low,湿热
O14594,20250913_FJ_QZ_Q39,12.247764283622448,high,湿热
O14594,20250913_FJ_QZ_Q41,11.86933516108524,high,湿热
O14594,20250913_FJ_QZ_Q42,12.263422088626198,high,湿热
O14594,20250913_FJ_QZ_Q44,12.484925877590285,low,湿热
O14594,20250913_FJ_QZ_Q45,10.946653863393554,low,湿热
O14594,20250913_FJ_QZ_Q48,10.633962037681487,low,湿热
O14594,20250913_FJ_QZ_Q49,11.97285869424621,low,湿热
O14594,20250913_FJ_QZ_Q50,11.045623365283594,control,湿热
O14594,20250913_FJ_QZ_Q52,12.366064963635854,low,湿热
O14594,20250913_FJ_QZ_Q54,11.408233583189151,control,湿热
O14594,20250913_FJ_QZ_Q55,12.033776859047778,control,湿热
O14594,20250913_FJ_QZ_Q57,11.468020642877972,control,湿热
O14594,20250913_FJ_QZ_Q58,11.466114185470763,low,湿热
O14594,20250913_FJ_QZ_Q59,12.135867072245725,low,湿热
O14594,20250913_FJ_QZ_Q60,11.93888294461994,low,湿热
O14594,20250913_FJ_QZ_Q61,10.860722330685594,control,湿热
O14594,20250913_FJ_QZ_Q62,11.864132290197592,control,湿热
O14594,20250913_FJ_QZ_Q63,12.069494019669811,control,湿热
O14594,20250913_FJ_QZ_Q65,11.830238104132722,control,湿热
O14594,20250913_FJ_QZ_Q66,12.071328964343873,low,湿热
O14594,20250913_FJ_QZ_Q67,12.116315085216348,low,湿热
O14594,20250913_FJ_QZ_Q68,12.122760550118983,control,湿热
O14594,20250913_FJ_QZ_Q69,11.40849664059206,control,湿热
O14594,20250913_FJ_QZ_Q70,12.544732665364405,control,湿热
O14594,20250913_FJ_QZ_Q71,12.539538321349971,control,湿热
O14594,20250913_FJ_QZ_Q72,12.282491772879315,low,湿热
O14594,20250914_FJ_FQ_F47,11.781397036404075,low,湿热
O14594,20250914_FJ_FQ_F51,12.335928944276791,low,湿热
O14594,20250914_FJ_FQ_F53,10.925521843266536,control,湿热
O14594,20250914_FJ_FQ_F54,12.250299285444173,low,湿热
O14594,20250914_FJ_FQ_F55,11.888703865059316,high,湿热
O14594,20250914_FJ_FQ_F56,12.43395327745519,control,湿热
O14594,20250914_FJ_FQ_F57,12.667145983886886,low,湿热
O14594,20250914_FJ_FQ_F58,11.917832223836262,high,湿热
O14594,20250914_FJ_FQ_F62,11.364177947010981,high,湿热
O14594,20250914_FJ_FQ_F66,12.123693912940006,control,湿热
O14594,20250914_FJ_FQ_F69,11.133593943617202,high,湿热
O14594,20250914_FJ_FQ_F70,12.826330951477175,control,湿热
O14594,20250914_FJ_FQ_F71,11.632930096991796,high,湿热
O14594,20250914_FJ_FQ_F72,12.370751651028781,low,湿热
O14594,20250914_FJ_FQ_F74,11.66356168722006,low,湿热
O14594,20250914_FJ_FQ_F75,11.769320212627122,high,湿热
O14594,20250914_FJ_FQ_F77,10.01536060181806,low,湿热
O14594,20250914_FJ_FQ_F79,11.176381817794326,high,湿热
O14594,20250914_FJ_FQ_F81,11.049209759238462,high,湿热
O14594,20250914_FJ_FQ_F83,12.080054344046324,low,湿热
O14594,20250914_FJ_FQ_F84,11.692278777941757,low,湿热
O14594,20250914_FJ_FQ_F85,12.2127193073485,high,湿热
O14594,20250914_FJ_FQ_F88,11.578476349645294,high,湿热
O14594,20250914_FJ_FQ_F89,11.313231533901298,high,湿热
O14594,20250914_FJ_FQ_F93,11.93297982644974,low,湿热
O14594,20250914_FJ_FQ_F94,11.600284191811387,control,湿热
O14594,20250914_FJ_FQ_F102,10.935581699707594,high,湿热
O14594,20250914_FJ_FQ_F105,12.59398840608623,high,湿热
O14594,20250914_FJ_FQ_F106,12.094565813524518,high,湿热
O14594,20250914_FJ_FQ_F107,12.21182162058101,low,湿热
O14594,20250914_FJ_FQ_F110,12.331729108292175,high,湿热
O14594,20250914_FJ_FQ_F111,11.166333051963248,low,湿热
O14594,20250914_FJ_FQ_F118,13.034300429086016,low,湿热
O14594,20250914_FJ_FQ_F121,11.446686545191298,high,湿热
